Online Status,image,accession_no,accession_year,title,region,creator,year_period,time_category,object_type,technique,material,description,dimension,credit_line,collection_of,item_id,item_url
On Roots,https://www.roots.gov.sg/CollectionImages/1212403.jpg,2008-00454,2008,Pulau Bukom,Singapore,,Early 20th century,20th century (early),"Positives (Photographs), Photographic Prints","photographic processes, photographic printing techniques","photographic paper, ink","Pulau Bukom is an island south of Singapore. It housed Singapore’s first petroleum tank depot, which was opened in 1892. By 1902, Pulau Bukom became the oil supply centre for the Far East.",Object size: 10.5 x 13.1 cm,,National Museum of Singapore,1212403,https://www.roots.gov.sg/Collection-Landing/listing/1212403
On Roots,https://www.roots.gov.sg/CollectionImages/1213135.jpg,2008-00456,2008,Pulau Bukom,Singapore,,Early 20th century,20th century (early),"Positives (Photographs), Photographic Prints","photographic processes, photographic printing techniques","photographic paper, ink","Pulau Bukom is an island south of Singapore. It housed Singapore’s first petroleum tank depot, which was opened in 1892. By 1902, Pulau Bukom became the oil supply centre for the Far East.",Object size: 13.2 x 10.6 cm,,National Museum of Singapore,1213135,https://www.roots.gov.sg/Collection-Landing/listing/1213135
On Roots,https://www.roots.gov.sg/CollectionImages/1214332.jpg,2008-00490,2008,Construction and installations on Pulau Bukom,Singapore,,Early 20th century,20th century (early),"Positives (Photographs), Photographic Prints","photographic processes, photographic printing techniques","photographic paper, ink","Pulau Bukom is an island south of Singapore. It housed Singapore’s first petroleum tank depot, which was opened in 1892. By 1902, Pulau Bukom became the oil supply centre for the Far East.",Object size: 10.4 x 12.9 cm,,National Museum of Singapore,1214332,https://www.roots.gov.sg/Collection-Landing/listing/1214332
On Roots,https://www.roots.gov.sg/CollectionImages/1210258.jpg,2008-00458,2008,Pulau Bukom,Singapore,,Early 20th century,20th century (early),"Positives (Photographs), Photographic Prints","photographic processes, photographic printing techniques","photographic paper, ink","Pulau Bukom is an island south of Singapore. It housed Singapore’s first petroleum tank depot, which was opened in 1892. By 1902, Pulau Bukom became the oil supply centre for the Far East.",Object size: 10.7 x 13.2 cm,,National Museum of Singapore,1210258,https://www.roots.gov.sg/Collection-Landing/listing/1210258
On Roots,https://www.roots.gov.sg/CollectionImages/1214656.jpg,2008-00443,2008,Pulau Bukom,Singapore,,Early 20th century,20th century (early),"Positives (Photographs), Photographic Prints","photographic processes, photographic printing techniques","photographic paper, ink","Pulau Bukom is an island south of Singapore. It housed Singapore’s first petroleum tank depot, which was opened in 1892. By 1902, Pulau Bukom became the oil supply centre for the Far East.",Object size: 10.4 x 12.9 cm,,National Museum of Singapore,1214656,https://www.roots.gov.sg/Collection-Landing/listing/1214656
On Roots,https://www.roots.gov.sg/CollectionImages/1212628.jpg,2008-00489,2008,Pulau Bukom,Singapore,,Early 20th century,20th century (early),"Positives (Photographs), Photographic Prints","photographic processes, photographic printing techniques","photographic paper, ink","Pulau Bukom is an island south of Singapore. It housed Singapore’s first petroleum tank depot, which was opened in 1892. By 1902, Pulau Bukom became the oil supply centre for the Far East.",Object size: 13.1 x 10.5 cm,,National Museum of Singapore,1212628,https://www.roots.gov.sg/Collection-Landing/listing/1212628
On Roots,https://www.roots.gov.sg/CollectionImages/1212572.jpg,2008-00501,2008,Construction and installations on Pulau Bukom,Singapore,,Early 20th century,20th century (early),"Positives (Photographs), Photographic Prints","photographic processes, photographic printing techniques","photographic paper, ink","Pulau Bukom is an island south of Singapore. It housed Singapore’s first petroleum tank depot, which was opened in 1892. By 1902, Pulau Bukom became the oil supply centre for the Far East.",Object size: 10.5 x 12.5 cm,,National Museum of Singapore,1212572,https://www.roots.gov.sg/Collection-Landing/listing/1212572
On Roots,https://www.roots.gov.sg/CollectionImages/1124993.jpg,1999-02482,1999,The entrance to New Harbour,Singapore,,c. 1900,20th century (early),,,,"Seen here is the entrance to New Harbour, later renamed Keppel Harbour in 1900. The shot is taken from Pulau Bukom. On the right of the picture is the Peninsula and Oriental (P&O) Wharf. In the background, a few boats can be seen on the bay.",Image size: 8.5 x 13.8 cm,,National Museum of Singapore,1124993,https://www.roots.gov.sg/Collection-Landing/listing/1124993
On Roots,https://www.roots.gov.sg/CollectionImages/1138035.jpg,2000-06813,2000,Entrance to New-harbour',Singapore,,Late 19th-early 20th century,19th century,,,,"Taken from Pulau Bukom in the 1870s, the view of the entrance to New Harbour is shown in the postcard. It is known as Keppel Harbour today, having been renamed in 1900 after Admiral Sir Henry Keppel, who visited Singapore several times between 1832 and 1899. The Peninsula and Oriental (P&O) wharf can be seen in the background. The wharf was opened in 1852 to facilitate the increase in port traffic due to the start of steamship services in Singapore.",Image size: 8.8 x 13.8 cm,,National Museum of Singapore,1138035,https://www.roots.gov.sg/Collection-Landing/listing/1138035
On Roots,https://www.roots.gov.sg/CollectionImages/1059294.jpg,1993-00285-019,1993,Entrance to New Harbour,Singapore,G R Lambert & Company,1890s,19th century,albumen prints,albumen process,albumen paper,"This albumen print shows the entrance to New Harbour, later renamed Keppel Harbour in 1900. The shot is taken from Pulau Bukom. On the right of the picture is the Peninsula and Oriental (P&O) Wharf. In the background, a few boats can be seen on the bay.",Image size: 21.7 x 27.5 cm,,National Museum of Singapore,1059294,https://www.roots.gov.sg/Collection-Landing/listing/1059294
On Roots,https://www.roots.gov.sg/CollectionImages/1416733.jpg,2018-00449,2018,Pulau Bukom booklet,Singapore,,1962,20th century (late),booklets,,Paper,"This booklet was published by Shell, the oil company that first oversaw the running of the petroleum tank depot business on Pulau Bukom in the late 19th century, before opening Singapore's first oil refinery on the island in 1961. The island is located southwest of mainland Singapore and has undergone rapid development and expansion through land reclamation over the decades. The booklet contains a brief history on the development of the oil industry on Pulau Bukom in the 1960s, when it played an important role in Singapore's early economic development. It also contains an image of the Pioneer Certificate that was awarded to Shell by the Singapore Government in 1960. Companies with pioneer status were exempted from corporate taxes as a form of incentive as Singapore tried to kickstart its industrialisation process, and Shell was the first recipient.",Object size: 27.1 x 21.0 cm,Gift of Yeo Choon Ho,National Museum of Singapore,1416733,https://www.roots.gov.sg/Collection-Landing/listing/1416733
On Roots,https://www.roots.gov.sg/CollectionImages/1139990.jpg,2000-01588,2000,The Shell Company of the Federation of Malaya Limited sign,Malaysia,,1948-1978,20th century (late),Information Signs,,,"This is a sign indicating that a particular vendor was a distributor of Shell petroleum. In 1891, Shell’s predecessor, Marcus and Company, set up an oil storage depot in Pulau Bukom (island south of Singapore) and Penang. Marcus and Company evolved into the Shell Company and started to branch out throughout Malaya. The Shell Company of the Federation of Malaya Limited was established in 1948 but went under in 1978.",Object size: L91.5 x W61.0 cm,,National Museum of Singapore,1139990,https://www.roots.gov.sg/Collection-Landing/listing/1139990
On Roots,https://www.roots.gov.sg/CollectionImages/1525922.jpg,2021-01040,2021,Singapore merchant token issued for use on Pulau Bukom by the Asiatic Petroleum Company,Singapore,,1920,20th century (early),Monetary Tokens,"tinning, metalworking","tinplate, iron (metal)","This merchant token was issued by the Asiatic Petroleum Company in 1920 for use at their oil depot on Pulau Bukom off Singapore island. The company was formed from the merger of the British Shell Transport and Trading Co. and the Royal Dutch Company. It had its regional headquarters in Singapore, and principal stage and distribution centre at Pulau Bukom. Probably modelled after the Singapore Harbour Board merchant token issued the same year, this token was likely to be used for a similar purpose, that of immediate payment of workers in lieu of the acute shortage of copper coins at that time.",2.9 x 2.9 cm Object size: 2.7 x 2.7 cm,,National Museum of Singapore,1525922,https://www.roots.gov.sg/Collection-Landing/listing/1525922
On Roots,https://www.roots.gov.sg/CollectionImages/1184552.jpg,2008-05251,2008,Attap houses in a Malay water village on Pulau Seking,Singapore,,c. 1980s,20th century (late),,,,"Pulau Seking (also known as Sakeng or Siking), is a small island about the size of ten football fields that is located just off the southern coast of Singapore. According to one legend, the island was named after a pirate queen named Keng from the Johore-Riau Archipelago, who had settled on the island with her followers sometime in the 18th century. The island’s inhabitants referred to themselves as Orang Selat (People of the Straits) or Orang Laut (People of the Sea), with some claiming to be the original inhabitants of Singapore island, while others were believed to be the descendants of pirates. The islanders lived in ‘attap’ houses built on stilts along the coastline and earned a living mostly as fishermen or workers in the Shell Eastern Petroleum oil refinery on neighbouring Pulau Bukom. The island’s inhabitants were shifted into new public flats on the mainland in 1994 to enable the conversion of the island into a landfill. The move saw many villagers abandoning their pet cats on the island, which prompted the Society for the Prevention of Cruelty to Animals to step in and round up the animals. Through land reclamation works, the island eventually became part of the larger Pulau Semakau landfill, which began operations in 1999.",Object size: 10.5 x 14.9 cm,,National Museum of Singapore,1184552,https://www.roots.gov.sg/Collection-Landing/listing/1184552
On Roots,https://www.roots.gov.sg/CollectionImages/1117721.jpg,1996-02187,1996,Pulau Brani with fishing village overlooking the New Harbour,Singapore,,Late 19th-early 20th century,19th century,,,,Fishing villages were once a common sight in Singapore as fishing was the main source of income for many coastal families. Fishing villages were built along the coast and rivers.,Image size: 8.9 x 13.9 cm,,National Museum of Singapore,1117721,https://www.roots.gov.sg/Collection-Landing/listing/1117721
On Roots,https://www.roots.gov.sg/CollectionImages/1318315.jpg,2014-01293,2014,The Mission to Siam and Hue by George Finlayson,,,1826,19th century,,,,"George Finlayson (1790-1823) accompanied John Crawfurd as surgeon and naturalist on his mission to Siam and Cochin China from 1821-1822. This book was published after his death, edited from the journal which he kept during the mission, and includes a prefatory memoir of the author by Sir Stamford Raffles. Finalyson arrived in Singapore on 20 January 1822, and in his journal provides detailed descriptions of Singapore's geography, weather and ecology. He also gives observations on the social life of various communities in Singapore - the Chinese, Malay, Orang Laut, and ""Chuliah"".",Object size: 22.4 x 14.2 x 2.4 cm,,National Museum of Singapore,1318315,https://www.roots.gov.sg/Collection-Landing/listing/1318315
